n_boite,adresse,commune,cp,conteneur,semaine_1,semaine_2,semaine_3,semaine_4,semaine_5,semaine_6,semaine_7,semaine_8,semaine_9,semaine_10,semaine_11,semaine_12,semaine_13,semaine_14,semaine_15,semaine_16,semaine_17,semaine_18,semaine_19,semaine_20,semaine_21,semaine_22,semaine_23,semaine_24,semaine_25,semaine_26,semaine_27,semaine_28,semaine_29,semaine_30,semaine_31,semaine_32,semaine_33,semaine_34,semaine_35,semaine_36,semaine_37,semaine_38,semaine_39,semaine_40,semaine_41,semaine_42,semaine_43,semaine_44,semaine_45,semaine_46,semaine_47,semaine_48,semaine_49,semaine_50,semaine_51,semaine_52,volume_moyen
173,"déchetterie - Forum, Avenue de Feuillasse / Place des Cinqs Continents (1)",MEYRIN,1217.0,KLEIN,2.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,5.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,4.0,8.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.1346153846153846
174,"déchetterie - Forum, Avenue de Feuillasse / Place des Cinqs Continents (2)",MEYRIN,1217.0,KLEIN,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.6923076923076923
123,"Impasse, Rue Gilbert 38",MEYRIN,1217.0,KLEIN,1.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,6.0,6.0,6.0,2.0,7.0,4.0,2.0,6.0,2.0,4.0,2.0,2.0,10.0,3.0,6.0,4.0,8.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.173076923076923
126,déchetterie - Avenue de Feuillasse 11,MEYRIN,1217.0,KLEIN,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,10.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,2.3653846153846154
307,déchetterie - Chemin Salomon Penay 23,MEYRIN,1217.0,KLEIN,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,7.0,2.0,2.0,2.0,4.0,2.0,2.0,8.0,8.0,4.0,2.0,8.0,8.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,0.0,5.0,4.0,4.0,6.0,4.0,4.0,2.980769230769231
202,Chemin du Bournoud 13,MEYRIN,1217.0,KLEIN,2.0,4.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,8.0,8.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,5.0,2.0,4.0,4.0,4.0,4.0,2.730769230769231
239,Esplanade des Récréations,MEYRIN,1217.0,KLEIN,3.0,6.0,4.0,3.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,4.0,4.0,2.0,6.0,3.0,5.0,4.0,4.0,3.0,5.0,6.0,6.0,7.0,5.0,3.0,4.0,2.0,4.0,8.0,4.0,3.0,6.0,5.0,8.0,8.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.076923076923077
230,Chemin de la Planche 306,MEYRIN,1217.0,KLEIN,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,4.0,4.0,4.0,3.0,3.0,2.0,6.0,3.0,5.0,2.0,7.0,6.0,4.0,2.0,3.0,4.0,3.0,8.0,2.0,3.0,2.0,5.0,4.0,4.0,8.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,6.0,4.0,3.5384615384615383
125,déchetterie - Promenade des Champs-Fréchets 25,MEYRIN,1217.0,KLEIN,6.0,4.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,2.0,2.0,4.0,3.0,0.0,4.0,4.0,6.0,6.0,4.0,5.0,4.0,3.0,5.0,7.0,6.0,2.0,7.0,7.0,4.0,6.0,4.0,2.0,2.0,3.0,3.0,3.0,7.0,6.0,5.0,3.0,4.0,5.0,3.0,5.0,6.0,8.0,8.0,6.0,8.0,6.0,8.0,5.0,4.576923076923077
247,Avenue Vaudagne 50,MEYRIN,1217.0,KLEIN,4.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,8.0,7.0,7.0,4.0,5.0,4.0,2.0,8.0,3.0,2.0,2.0,6.0,6.0,8.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,3.8846153846153846
